14-11-2022 14:14:27; Запуск; Вход в программу
14-11-2022 14:14:43; Ввод данных; (34, 34)
14-11-2022 14:14:46; Сумма; 68
14-11-2022 14:14:53; Ввод данных; (34, 34)
14-11-2022 14:15:03; Разность; 0
14-11-2022 14:20:45; Запуск; Вход в программу
14-11-2022 14:21:07; Ввод данных; (467, 567)
14-11-2022 14:21:13; Разность; -100
14-11-2022 14:28:15; Запуск; Вход в программу
14-11-2022 14:31:22; Запуск; Вход в программу
14-11-2022 14:31:37; Ввод данных; (34, 34)
14-11-2022 14:31:39; Сумма; 68
14-11-2022 14:31:46; Ввод данных; (34, 34)
14-11-2022 14:31:48; Разность; 0
14-11-2022 14:31:57; Ввод данных; (34, 34)
14-11-2022 14:32:00; Произведение; 1156
14-11-2022 15:39:41; Запуск; Вход в программу
14-11-2022 15:39:50; Ввод данных; (34, 34)
14-11-2022 15:40:07; Сумма; 68
14-11-2022 15:40:11; Ввод данных; (34, 34)
14-11-2022 15:40:18; Разность; 0
14-11-2022 15:40:25; Ввод данных; (34, 34)
14-11-2022 15:40:29; Сумма; 68
14-11-2022 15:43:03; Запуск; Вход в программу
14-11-2022 15:45:47; Запуск; Вход в программу
14-11-2022 15:46:13; Запуск; Вход в программу
14-11-2022 15:46:56; Ввод данных; (34, 34)
14-11-2022 15:47:03; Разность; 0
14-11-2022 16:25:02; Запуск; Вход в программу
14-11-2022 16:25:28; Ввод данных; (56.0, 0)
14-11-2022 16:25:42; Ввод данных; (56.0, 45.0)
14-11-2022 16:25:47; Сумма; 101.0
14-11-2022 16:26:01; Выход; по команде пользователя
14-11-2022 16:26:33; Запуск; Вход в программу
14-11-2022 16:29:27; Запуск; Вход в программу
14-11-2022 16:29:38; Ввод данных; (45.0, 0)
14-11-2022 16:29:53; Ввод данных; (45.0, 45.0)
14-11-2022 16:29:56; Сумма; 90.0
14-11-2022 16:30:29; Запуск; Вход в программу
14-11-2022 16:30:45; Ввод данных; (45, 0)
14-11-2022 16:33:04; Запуск; Вход в программу
14-11-2022 16:33:12; Ввод данных; (45, 0)
14-11-2022 16:33:38; Ввод данных; (34.0, 0)
14-11-2022 16:33:51; Ввод данных; (34.0, 67.0)
14-11-2022 16:33:59; Сумма; 101.0
14-11-2022 16:34:05; Выход; по команде пользователя
